period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,generation,generation-units
2016-02,NY,New York,2,IPP Non-CHP,WND,wind,436.61964,thousand megawatthours
2016-03,NY,New York,2,IPP Non-CHP,WND,wind,387.74512,thousand megawatthours
2016-04,NY,New York,2,IPP Non-CHP,WND,wind,256.67628,thousand megawatthours
2016-05,NY,New York,2,IPP Non-CHP,WND,wind,236.31082,thousand megawatthours
2016-06,NY,New York,2,IPP Non-CHP,WND,wind,277.52193,thousand megawatthours
2016-07,NY,New York,2,IPP Non-CHP,WND,wind,218.80215,thousand megawatthours
2016-08,NY,New York,2,IPP Non-CHP,WND,wind,213.96548,thousand megawatthours
2016-09,NY,New York,2,IPP Non-CHP,WND,wind,195.35163,thousand megawatthours
2016-10,NY,New York,2,IPP Non-CHP,WND,wind,326.48882,thousand megawatthours
2016-11,NY,New York,2,IPP Non-CHP,WND,wind,371.32592,thousand megawatthours
2016-12,NY,New York,2,IPP Non-CHP,WND,wind,537.79629,thousand megawatthours
2017-01,NY,New York,2,IPP Non-CHP,WND,wind,367.43609,thousand megawatthours
2017-02,NY,New York,2,IPP Non-CHP,WND,wind,384.06461,thousand megawatthours
2017-03,NY,New York,2,IPP Non-CHP,WND,wind,426.18106,thousand megawatthours
2017-04,NY,New York,2,IPP Non-CHP,WND,wind,417.53421,thousand megawatthours
2017-05,NY,New York,2,IPP Non-CHP,WND,wind,359.93866,thousand megawatthours
2017-06,NY,New York,2,IPP Non-CHP,WND,wind,326.91215,thousand megawatthours
2017-07,NY,New York,2,IPP Non-CHP,WND,wind,248.32991,thousand megawatthours
2017-08,NY,New York,2,IPP Non-CHP,WND,wind,217.84163,thousand megawatthours
2017-09,NY,New York,2,IPP Non-CHP,WND,wind,250.10593,thousand megawatthours
2017-10,NY,New York,2,IPP Non-CHP,WND,wind,408.01515,thousand megawatthours
2017-11,NY,New York,2,IPP Non-CHP,WND,wind,378.02789,thousand megawatthours
2017-12,NY,New York,2,IPP Non-CHP,WND,wind,346.42072,thousand megawatthours
2018-01,NY,New York,2,IPP Non-CHP,WND,wind,450.06581,thousand megawatthours
2018-02,NY,New York,2,IPP Non-CHP,WND,wind,426.26081,thousand megawatthours
2018-03,NY,New York,2,IPP Non-CHP,WND,wind,304.47935,thousand megawatthours
2018-04,NY,New York,2,IPP Non-CHP,WND,wind,359.2054,thousand megawatthours
2018-05,NY,New York,2,IPP Non-CHP,WND,wind,321.94491,thousand megawatthours
2018-06,NY,New York,2,IPP Non-CHP,WND,wind,243.01546,thousand megawatthours
2018-07,NY,New York,2,IPP Non-CHP,WND,wind,232.32147,thousand megawatthours
2018-08,NY,New York,2,IPP Non-CHP,WND,wind,240.70209,thousand megawatthours
2018-09,NY,New York,2,IPP Non-CHP,WND,wind,259.45365,thousand megawatthours
2018-10,NY,New York,2,IPP Non-CHP,WND,wind,379.81393,thousand megawatthours
2018-11,NY,New York,2,IPP Non-CHP,WND,wind,388.26756,thousand megawatthours
2018-12,NY,New York,2,IPP Non-CHP,WND,wind,383.74549,thousand megawatthours
2019-01,NY,New York,2,IPP Non-CHP,WND,wind,464.80304,thousand megawatthours
2019-02,NY,New York,2,IPP Non-CHP,WND,wind,414.17819,thousand megawatthours
2019-03,NY,New York,2,IPP Non-CHP,WND,wind,470.43627,thousand megawatthours
2019-04,NY,New York,2,IPP Non-CHP,WND,wind,448.10401,thousand megawatthours
2019-05,NY,New York,2,IPP Non-CHP,WND,wind,300.50803,thousand megawatthours
2019-06,NY,New York,2,IPP Non-CHP,WND,wind,327.491,thousand megawatthours
2019-07,NY,New York,2,IPP Non-CHP,WND,wind,241.89729,thousand megawatthours
2019-08,NY,New York,2,IPP Non-CHP,WND,wind,254.38616,thousand megawatthours
2019-09,NY,New York,2,IPP Non-CHP,WND,wind,277.99221,thousand megawatthours
2019-10,NY,New York,2,IPP Non-CHP,WND,wind,392.51202,thousand megawatthours
2019-11,NY,New York,2,IPP Non-CHP,WND,wind,371.21706,thousand megawatthours
2019-12,NY,New York,2,IPP Non-CHP,WND,wind,488.15174,thousand megawatthours
2020-01,NY,New York,2,IPP Non-CHP,WND,wind,384.89427,thousand megawatthours
2020-02,NY,New York,2,IPP Non-CHP,WND,wind,390.64591,thousand megawatthours
2020-03,NY,New York,2,IPP Non-CHP,WND,wind,471.17896,thousand megawatthours
2020-04,NY,New York,2,IPP Non-CHP,WND,wind,450.08522,thousand megawatthours
2020-05,NY,New York,2,IPP Non-CHP,WND,wind,317.50244,thousand megawatthours
2020-06,NY,New York,2,IPP Non-CHP,WND,wind,241.78535,thousand megawatthours
2020-07,NY,New York,2,IPP Non-CHP,WND,wind,272.31067,thousand megawatthours
2020-08,NY,New York,2,IPP Non-CHP,WND,wind,246.45429,thousand megawatthours
2020-09,NY,New York,2,IPP Non-CHP,WND,wind,351.03755,thousand megawatthours
2020-10,NY,New York,2,IPP Non-CHP,WND,wind,375.2833,thousand megawatthours
2020-11,NY,New York,2,IPP Non-CHP,WND,wind,562.32065,thousand megawatthours
2020-12,NY,New York,2,IPP Non-CHP,WND,wind,452.8624,thousand megawatthours
